,Unnamed: 0,random,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,material,variable,user_id,material.variable,response,sw_neg_ans1,sw_neg_ans2,sw_neg_ans3,sw_neg_ans4,sw_neg_ans5,sw_neg_ans6,sw_neg_ans7,sw_neg_ans8,sw_neg_ans9,sw_neg_ans10,sw_other,sw_pos_ans1,sw_pos_ans2,sw_pos_ans3,sw_pos_ans4,sw_pos_ans5,neg,pos,neither,goal_object,non_goal_object,controllable,uncontrollable,neither_control
30,2578,0.13750985699999999-->0.09060161900000001,5f5b64b9eeba9d07ab78edff,591801345020970001c19493,APPROVED,51:36.7,03:59.3,742.566,33,15:12.9,4DE9B385,United Kingdom,Female,8,"Sep 11, 2020 7:51:43 am","Sep 11, 2020 8:03:54 am",Complete,0,0,0,English,0,1599825103_5f5b64cf286086.84209189,positive,present,sally_wine,response,591801345020970001c19493,sally_wine.response,her neighbour invites her round for dinner.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
31,2494,0.534417621-->0.193124023,5f5cf026766c6f0b7154d628,5abea1621667e40001d82af2,APPROVED,58:35.4,10:10.9,695.528,36,10:25.9,3833C7F5,United Kingdom,Female,33,"Sep 12, 2020 11:58:37 am","Sep 12, 2020 12:10:09 pm",Complete,0,0,0,English,0,1599926317_5f5cf02d237656.59801427,negative,absent,sally_wine,response,5abea1621667e40001d82af2,sally_wine.response,Her husband came out of the house to defend her. ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
32,2440,0.13458710000000002-->0.9076340890000001,5f5bc53e033f6436877fa6cf,5eb08db7b7c2711420b70629,APPROVED,43:10.6,53:32.8,622.199,24,58:59.7,40D80FA4,Ireland,Male,45,"Sep 11, 2020 2:43:13 pm","Sep 11, 2020 2:53:31 pm",Complete,0,0,0,English,0,1599849793_5f5bc541af0050.58149338,negative,present,sally_wine,response,5eb08db7b7c2711420b70629,sally_wine.response,She had an argument with her neighbour and didn't get to go to the shop,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
33,2613,0.284632479-->0.9591769379999999,5f5b66ccf18ff20780af532b,595e7974af78da0001a21c3a,APPROVED,00:16.1,21:56.3,1300.171,44,16:44.0,4DE9B385,United Kingdom,Female,36,"Sep 11, 2020 8:00:18 am","Sep 11, 2020 8:21:53 am",Complete,0,0,0,English,0,1599825617_5f5b66d1f418e6.95750350,positive,present,sally_wine,response,595e7974af78da0001a21c3a,sally_wine.response,"Before she gets home, she drops the bottle of wine and it smashes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
34,2619,0.639423185-->0.192303776,5f5b675555ee7f2986ad534c,5360c37cfdf99b02ccc08fcb,APPROVED,02:31.8,14:55.4,743.582,28,16:54.1,4DE9B385,United Kingdom,Female,43,"Sep 11, 2020 8:02:34 am","Sep 11, 2020 8:14:53 am",Complete,0,0,0,English,0,1599825754_5f5b675a04d780.46965082,positive,present,sally_wine,response,5360c37cfdf99b02ccc08fcb,sally_wine.response,She got home and realised she forgot to buy the wine. ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
35,2454,0.302492251-->0.611988573,5f5bc5f1def27f3626252a35,5c924468a5c1db00144f7fcb,APPROVED,46:11.4,56:52.5,641.037,35,59:27.6,40D80FA4,United Kingdom,Male,46,"Sep 11, 2020 2:46:12 pm","Sep 11, 2020 2:56:50 pm",Complete,0,0,0,English,0,1599849972_5f5bc5f4c5dc16.59408085,negative,present,sally_wine,response,5c924468a5c1db00144f7fcb,sally_wine.response,she got beat up by her neighbour,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
36,2503,0.644956078-->0.200428866,5f5cf09fef2d8e5006cb9e4e,5f3d23fbe324bf0387ebc78a,APPROVED,00:35.9,11:16.2,640.31,25,10:44.5,3833C7F5,United Kingdom,Female,48,"Sep 12, 2020 12:00:40 pm","Sep 12, 2020 12:10:52 pm",Complete,0,0,0,English,0,1599926440_5f5cf0a8b1c4d4.61730653,negative,absent,sally_wine,response,5f3d23fbe324bf0387ebc78a,sally_wine.response,"The neighbour is angry the shop is closed, as they also wanted wine with dinner. This anger caused the argument with Sally. ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
37,2574,0.9839293459999999-->0.15013465,5f5b63c6be186728fbb548fb,5bf2f4028e5b8b00018d9b88,APPROVED,47:20.3,53:20.2,359.957,30,15:04.9,4DE9B385,United Kingdom,Male,3,"Sep 11, 2020 7:47:21 am","Sep 11, 2020 7:53:18 am",Complete,0,0,0,English,0,1599824841_5f5b63c9ae06b4.19607742,positive,present,sally_wine,response,5bf2f4028e5b8b00018d9b88,sally_wine.response,"death, pain and suffering ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
38,2615,0.887639673-->0.355771813,5f5b66deec0fc207a3728c68,5f2140c8d3eb49000a833723,APPROVED,00:43.7,10:25.8,582.067,26,16:47.9,4DE9B385,United Kingdom,Female,39,"Sep 11, 2020 8:00:47 am","Sep 11, 2020 8:10:23 am",Complete,0,0,0,English,0,1599825647_5f5b66ef47cc89.62550820,positive,present,sally_wine,response,5f2140c8d3eb49000a833723,sally_wine.response,the neighbour falls and she needs to call her an ambulance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
39,2496,0.152124446-->0.546632666,5f5cf03c2f9ff7503b889485,5c54b2e0cf1cd900018cf6a6,APPROVED,00:19.0,14:37.2,858.162,45,10:30.6,3833C7F5,United Kingdom,Male,42,"Sep 12, 2020 12:00:23 pm","Sep 12, 2020 12:14:33 pm",Complete,0,0,0,English,0,1599926423_5f5cf097943926.71390799,negative,absent,sally_wine,response,5c54b2e0cf1cd900018cf6a6,sally_wine.response,Sally throws her meal over the garden fence into her neighbours back garden,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
